,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,decade,total_ace,total_df,total_points,total_1stIn,total_2ndserve,total_1stWon,total_2ndWon,total_1st_perc,total_1st_win_perc,total_2nd_win_perc,aces_per_point,df_per_point
44415,1980-605,Masters,Carpet,8,M,19810114,5,100437,,,Bjorn Borg,R,180.0,SWE,24.6078028747,100656,,,Ivan Lendl,R,188.0,USA,20.8569472964,6-4 6-2 6-2,5,F,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,1980,1980s,,,,,,,,,,,,
47405,1981-416,Rome Masters,Clay,64,M,19810518,300,100555,3.0,,Jose Luis Clerc,R,185.0,ARG,22.7542778919,100395,12.0,,Victor Pecci,R,193.0,PAR,25.5906913073,6-3 6-4 6-0,5,F,,,,,,,,,,,,,,,,,,,,8.0,,21.0,,1981,1980s,,,,,,,,,,,,
47657,1981-421,Canada Masters,Hard,64,M,19810810,63,100656,4.0,,Ivan Lendl,R,188.0,USA,21.4264202601,100586,6.0,,Eliot Teltscher,R,178.0,USA,22.4065708419,6-3 6-2,3,F,,,,,,,,,,,,,,,,,,,,4.0,,11.0,,1981,1980s,,,,,,,,,,,,
47720,1981-422,Cincinnati Masters,Hard,64,M,19810817,63,100581,1.0,,John McEnroe,L,180.0,USA,22.4996577687,100474,,,Chris Lewis,R,180.0,NZL,24.4407939767,6-3 6-4,3,F,,,,,,,,,,,,,,,,,,,,1.0,,74.0,,1981,1980s,,,,,,,,,,,,
48497,1981-605,Masters,Carpet,8,M,19820113,5,100656,,,Ivan Lendl,R,188.0,USA,21.8535249829,100342,,,Vitas Gerulaitis,R,183.0,USA,27.4688569473,6-7 2-6 7-6 6-2 6-4,5,F,,,,,,,,,,,,,,,,,,,,2.0,,9.0,,1981,1980s,,,,,,,,,,,,
51067,1982-416,Rome Masters,Clay,64,M,19820517,63,100653,9.0,,Andres Gomez,L,193.0,ECU,22.2176591376,100586,4.0,,Eliot Teltscher,R,178.0,USA,23.1731690623,6-2 6-3 6-2,5,F,,,,,,,,,,,,,,,,,,,,16.0,,10.0,,1982,1980s,,,,,,,,,,,,
51319,1982-421,Canada Masters,Hard,64,M,19820809,63,100342,4.0,,Vitas Gerulaitis,R,183.0,USA,28.038329911,100656,3.0,,Ivan Lendl,R,188.0,USA,22.4229979466,4-6 6-1 6-3,3,F,,,,,,,,,,,,,,,,,,,,5.0,,4.0,,1982,1980s,,,,,,,,,,,,
51382,1982-422,Cincinnati Masters,Hard,64,M,19820816,63,100656,3.0,,Ivan Lendl,R,188.0,USA,22.4421629021,100445,11.0,,Steve Denton,R,188.0,USA,25.9438740589,6-2 7-6,3,F,,,,,,,,,,,,,,,,,,,,4.0,,19.0,,1982,1980s,,,,,,,,,,,,
52181,1982-605,Masters,Carpet,12,M,19830118,11,100656,,,Ivan Lendl,R,188.0,USA,22.8665297741,100581,,,John McEnroe,L,180.0,USA,23.9206023272,6-4 6-4 6-2,5,F,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,1982,1980s,,,,,,,,,,,,
54792,1983-416,Rome Masters,Clay,64,M,19830516,55,101061,6.0,,Jimmy Arias,R,175.0,USA,18.7460643395,100300,1.0,,Jose Higueras,R,178.0,ESP,30.2067077344,6-2 6-7 6-1 6-4,5,F,,,,,,,,,,,,,,,,,,,,16.0,,9.0,,1983,1980s,,,,,,,,,,,,
