,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,decade,total_ace
59046,1984-540,Wimbledon,Grass,128,G,19840625,300,100581,1.0,,John McEnroe,L,180.0,USA,25.3552361396,100284,3.0,,Jimmy Connors,L,178.0,USA,31.8110882957,6-1 6-1 6-2,5,F,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,1984,1980s,
59173,1984-560,US Open,Hard,128,G,19840828,300,100581,1.0,,John McEnroe,L,180.0,USA,25.5277207392,100656,2.0,,Ivan Lendl,R,188.0,USA,24.4736481862,6-3 6-4 6-1,5,F,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1984,1980s,
59268,1984-580,Australian Open,Grass,96,G,19841126,300,101062,2.0,,Mats Wilander,R,183.0,SWE,20.2628336756,100529,9.0,,Kevin Curren,R,185.0,USA,26.7378507871,6-7 6-4 7-6 6-2,5,F,,,,,,,,,,,,,,,,,,,,4.0,,21.0,,1984,1980s,
62431,1985-520,Roland Garros,Clay,128,G,19850527,127,101062,4.0,,Mats Wilander,R,183.0,SWE,20.7611225188,100656,2.0,,Ivan Lendl,R,188.0,USA,25.2210814511,3-6 6-4 6-2 6-2,5,F,,,,,,,,,,,,,,,,,,,,4.0,,2.0,,1985,1980s,
62558,1985-540,Wimbledon,Grass,128,G,19850624,300,101414,,,Boris Becker,R,190.0,GER,17.5879534565,100529,8.0,,Kevin Curren,R,185.0,USA,27.3127994524,6-3 6-7 7-6 6-4,5,F,,,,,,,,,,,,,,,,,,,,20.0,,9.0,,1985,1980s,
62685,1985-560,US Open,Hard,128,G,19850827,300,100656,2.0,,Ivan Lendl,R,188.0,USA,25.4702258727,100581,1.0,,John McEnroe,L,180.0,USA,26.5242984257,7-6 6-3 6-4,5,F,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1985,1980s,
62780,1985-580,Australian Open,Grass,96,G,19851125,95,101222,5.0,,Stefan Edberg,R,188.0,SWE,19.8494182067,101062,3.0,,Mats Wilander,R,183.0,SWE,21.2594113621,6-4 6-3 6-3,5,F,,,,,,,,,,,,,,,,,,,,6.0,,3.0,,1985,1980s,
65746,1986-520,Roland Garros,Clay,128,G,19860526,127,100656,1.0,,Ivan Lendl,R,188.0,USA,26.2176591376,100944,,,Mikael Pernfors,R,173.0,SWE,22.8610540726,6-3 6-2 6-4,5,F,,,,,,,,,,,,,,,,,,,,1.0,,27.0,,1986,1980s,
65873,1986-540,Wimbledon,Grass,128,G,19860623,127,101414,4.0,,Boris Becker,R,190.0,GER,18.5845311431,100656,1.0,,Ivan Lendl,R,188.0,USA,26.2943189596,6-4 6-3 7-5,5,F,,,,,,,,,,,,,,,,,,,,6.0,,1.0,,1986,1980s,
66000,1986-560,US Open,Hard,128,G,19860826,300,100656,1.0,,Ivan Lendl,R,188.0,USA,26.4668035592,101036,16.0,,Miloslav Mecir,R,190.0,SVK,22.2669404517,6-4 6-2 6-0,5,F,,,,,,,,,,,,,,,,,,,,1.0,,15.0,,1986,1980s,
69281,1987-520,Roland Garros,Clay,128,G,19870525,127,100656,1.0,,Ivan Lendl,R,188.0,USA,27.2142368241,101062,4.0,,Mats Wilander,R,183.0,SWE,22.7542778919,7-5 6-2 3-6 7-6,5,F,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,1987,1980s,
69408,1987-540,Wimbledon,Grass,128,G,19870622,127,101138,11.0,,Pat Cash,R,183.0,AUS,22.0698151951,100656,2.0,,Ivan Lendl,R,188.0,USA,27.2908966461,7-6 6-2 7-5,5,F,,,,,,,,,,,,,,,,,,,,11.0,,1.0,,1987,1980s,
69535,1987-560,US Open,Hard,128,G,19870901,127,100656,1.0,,Ivan Lendl,R,188.0,USA,27.4825462012,101062,3.0,,Mats Wilander,R,183.0,SWE,23.022587269,6-7 6-0 7-6 6-4,5,F,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,1987,1980s,
69630,1987-580,Australian Open,Grass,96,G,19870112,95,101222,4.0,,Stefan Edberg,R,188.0,SWE,20.9801505818,101138,11.0,,Pat Cash,R,183.0,AUS,21.6290212183,6-3 6-4 3-6 5-7 6-3,5,F,,,,,,,,,,,,,,,,,,,,5.0,,24.0,,1987,1980s,
72907,1988-520,Roland Garros,Clay,128,G,19880523,127,101062,3.0,,Mats Wilander,R,183.0,SWE,23.7508555784,100936,11.0,,Henri Leconte,L,185.0,FRA,24.887063655,7-5 6-2 6-1,5,F,,,,,,,,,,,,,,,,,,,,3.0,,14.0,,1988,1980s,
73034,1988-540,Wimbledon,Grass,128,G,19880620,127,101222,3.0,,Stefan Edberg,R,188.0,SWE,22.417522245,101414,6.0,,Boris Becker,R,190.0,GER,20.5776865161,4-6 7-6 6-4 6-2,5,F,,,,,,,,,,,,,,,,,,,,3.0,,8.0,,1988,1980s,
73161,1988-560,US Open,Hard,128,G,19880829,127,101062,2.0,,Mats Wilander,R,183.0,SWE,24.0191649555,100656,1.0,,Ivan Lendl,R,188.0,USA,28.4791238877,6-4 4-6 6-3 5-7 6-4,5,F,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1988,1980s,
73288,1988-580,Australian Open,Hard,128,G,19880111,127,101062,3.0,,Mats Wilander,R,183.0,SWE,23.3867214237,101138,4.0,,Pat Cash,R,183.0,AUS,22.6255989049,6-3 6-7 3-6 6-1 8-6,5,F,,,,,,,,,,,,,,,,,,,,3.0,,7.0,,1988,1980s,
76545,1989-520,Roland Garros,Clay,128,G,19890529,127,102021,15.0,,Michael Chang,R,175.0,USA,17.2648870637,101222,3.0,,Stefan Edberg,R,188.0,SWE,23.356605065,6-1 3-6 4-6 6-4 6-2,5,F,,,,,,,,,,,,,,,,,,,,19.0,,3.0,,1989,1980s,
76672,1989-540,Wimbledon,Grass,128,G,19890626,127,101414,3.0,,Boris Becker,R,190.0,GER,21.5934291581,101222,2.0,,Stefan Edberg,R,188.0,SWE,23.4332648871,6-0 7-6 6-4,5,F,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,1989,1980s,
76799,1989-560,US Open,Hard,128,G,19890828,127,101414,2.0,,Boris Becker,R,190.0,GER,21.7659137577,100656,1.0,,Ivan Lendl,R,188.0,USA,29.4757015743,7-6 1-6 6-3 7-6,5,F,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1989,1980s,
76926,1989-580,Australian Open,Hard,128,G,19890116,127,100656,2.0,,Ivan Lendl,R,188.0,USA,28.8624229979,101036,9.0,,Miloslav Mecir,R,190.0,SVK,24.6625598905,6-2 6-2 6-2,5,F,,,,,,,,,,,,,,,,,,,,2.0,,13.0,,1989,1980s,
77514,1990-580,Australian Open,Hard,128,G,19900115,127,100656,1.0,,Ivan Lendl,R,188.0,USA,29.8590006845,101222,3.0,,Stefan Edberg,R,188.0,SWE,23.9890485969,4-6 7-6 5-2 RET,5,F,,,,,,,,,,,,,,,,,,,,1.0,2913.0,3.0,2111.0,1990,1990s,
79065,1990-520,Roland Garros,Clay,128,G,19900528,127,100653,4.0,,Andres Gomez,L,193.0,ECU,30.2477754962,101736,3.0,,Andre Agassi,R,180.0,USA,20.0793976728,6-3 2-6 6-4 6-4,5,F,,,,,,,,,,,,,,,,,,,,7.0,1529.0,5.0,1557.0,1990,1990s,
79403,1990-540,Wimbledon,Grass,128,G,19900625,127,101222,3.0,,Stefan Edberg,R,188.0,SWE,24.4298425736,101414,2.0,,Boris Becker,R,190.0,GER,22.5900068446,6-2 6-2 3-6 3-6 6-4,5,F,,,,,,,,,,,,,,,,,,,,3.0,2606.0,2.0,2752.0,1990,1990s,
80221,1990-560,US Open,Hard,128,G,19900827,127,101948,12.0,,Pete Sampras,R,185.0,USA,19.0417522245,101736,4.0,,Andre Agassi,R,180.0,USA,20.3285420945,6-4 6-3 6-2,5,F,,,,,,,,,,,,,,,,,,,,12.0,1231.0,4.0,2103.0,1990,1990s,
